param A := 20;
param N := 5;
param T :=150;
set J[1] := 1, 2, 3;
set J[2] := 1, 2, 3, 4;
set J[3] := 1, 2, 3, 4, 5;
set J[4] := 1, 2, 3;
set J[5] := 1, 2, 3;

param: d :=
1	139
2	60
3	143
4	149
5	84
6	30
7	51
8	99
9	70
10	128
11	93
12	53
13	50
14	111
15	90
16	146
17	147
18	47
19	125
20	148;
param E:
	1	2	3	4	5 :=
1	7	8	8	8	5
2	7	5	14	2	13
3	11	1	10	4	15
4	15	10	9	12	9
5	4	9	3	1	6
6	2	5	3	13	7
7	10	6	11	8	5
8	15	12	1	11	1
9	6	10	8	11	6
10	13	13	8	4	6
11	4	2	7	12	10
12	8	1	3	2	14
13	7	10	6	13	8
14	11	7	15	8	14
15	4	11	9	9	14
16	9	14	14	12	12
17	14	6	10	10	7
18	10	8	8	9	3
19	15	1	4	10	5
20	2	4	13	12	6
;




